vehicle_id,now_avg_kmpl,now_avg_kmpl_inv,now_total_fuel_cost_inr,now_avg_co2_kg,future_avg_kmpl,future_avg_kmpl_inv,future_total_fuel_cost_inr,future_avg_co2_kg
VEH-02071,13.56,0.0737,573847.56,3.44,12.96,0.0772,668276.58,4.08
VEH-02072,14.88,0.0672,467450.13,3.71,13.93,0.0718,543628.08,4.25
VEH-02073,14.25,0.0702,439291.17,3.19,12.57,0.0796,477746.99,3.46
VEH-02074,11.25,0.0889,877939.97,3.62,9.48,0.1055,1025425.56,4.07
VEH-02075,14.42,0.0693,428521.73,3.33,13.6,0.0735,469144.08,3.67
VEH-02076,15.8,0.0633,399782.68,3.43,14.31,0.0699,442659.81,3.72
VEH-02077,14.81,0.0675,458771.86,3.07,12.82,0.078,553963.81,3.31
VEH-02078,15.22,0.0657,512992.53,3.58,14.56,0.0687,570500.91,4.05
VEH-02079,16.16,0.0619,141693.17,2.0,14.96,0.0668,156189.76,2.23
VEH-02080,15.09,0.0663,395873.73,3.0,14.4,0.0694,491091.36,3.2
VEH-02081,15.8,0.0633,252167.06,2.72,14.79,0.0676,301445.52,3.06
VEH-02082,16.33,0.0612,311444.56,3.16,15.02,0.0666,342378.03,3.74
VEH-02083,17.0,0.0588,86613.26,2.15,15.61,0.0641,96078.9,2.48
VEH-02084,13.99,0.0715,778391.48,4.16,13.23,0.0756,948043.64,4.86
VEH-02085,17.45,0.0573,233728.07,3.0,15.6,0.0641,258862.07,3.4
VEH-02086,17.74,0.0564,350221.62,3.32,16.38,0.0611,419481.25,3.67
VEH-02087,15.29,0.0654,294205.15,2.73,13.37,0.0748,319658.54,3.15
VEH-02088,13.68,0.0731,607897.77,3.41,13.11,0.0763,721702.59,3.61
VEH-02089,19.52,0.0512,181940.41,2.65,17.57,0.0569,200142.83,2.91
VEH-02090,16.77,0.0596,363407.63,3.51,14.79,0.0676,415521.9,3.81
VEH-02091,19.67,0.0508,78011.94,1.99,18.36,0.0545,92971.47,2.23
VEH-02092,16.71,0.0598,321229.17,2.93,15.24,0.0656,387913.26,3.08
VEH-02093,19.41,0.0515,22806.28,1.85,17.68,0.0566,26095.95,1.96
VEH-02094,16.79,0.0596,390667.92,3.43,15.49,0.0646,458612.09,3.64
VEH-02095,16.81,0.0595,239213.39,2.38,16.31,0.0613,291581.28,2.66
VEH-02096,15.08,0.0663,559725.68,3.51,14.41,0.0694,612868.54,3.77
VEH-02097,18.13,0.0552,143917.06,2.24,16.48,0.0607,168622.0,2.61
VEH-02098,15.35,0.0651,436365.36,3.0,13.82,0.0724,478938.87,3.35
VEH-02099,17.87,0.056,92880.02,1.87,17.26,0.0579,110596.6,2.0
VEH-02100,13.38,0.0747,555681.96,3.45,12.36,0.0809,661121.67,3.74
VEH-02101,12.84,0.0779,637574.32,3.52,11.58,0.0864,691063.75,3.97
VEH-02102,17.05,0.0587,219797.16,2.71,15.57,0.0642,255112.46,3.12
VEH-02103,14.97,0.0668,357961.23,2.97,13.93,0.0718,402982.08,3.18
VEH-02104,18.16,0.0551,142776.91,2.05,16.45,0.0608,177726.85,2.34
VEH-02105,18.21,0.0549,108490.04,2.55,17.15,0.0583,126776.45,2.95
VEH-02106,12.97,0.0771,681537.43,3.86,11.89,0.0841,773231.09,4.62
VEH-02107,16.07,0.0622,321973.61,2.87,15.07,0.0664,396432.23,3.33
VEH-02108,15.51,0.0645,403828.75,2.99,14.61,0.0684,486233.02,3.24
VEH-02109,17.19,0.0582,270973.75,2.87,16.23,0.0616,314346.14,3.15
VEH-02110,17.05,0.0587,441700.81,3.52,16.4,0.061,491399.55,3.72
VEH-02111,17.17,0.0582,223052.26,2.51,15.89,0.0629,242274.93,2.67
VEH-02112,13.45,0.0743,433586.5,3.17,12.32,0.0812,471095.17,3.41
VEH-02113,12.45,0.0803,608069.83,3.44,11.43,0.0875,686432.84,3.76
VEH-02114,19.88,0.0503,68647.38,2.03,19.34,0.0517,80871.79,2.37
VEH-02115,17.95,0.0557,267367.01,2.85,16.01,0.0625,311570.35,3.2
VEH-02116,16.98,0.0589,262331.38,2.83,15.95,0.0627,293624.42,3.37
VEH-02117,16.75,0.0597,212858.38,2.6,15.39,0.065,233896.98,3.09
VEH-02118,14.81,0.0675,640745.16,3.98,13.83,0.0723,737277.08,4.31
VEH-02119,12.96,0.0772,644842.23,3.68,11.19,0.0894,774221.34,4.06
VEH-02120,16.06,0.0623,416911.63,3.28,15.48,0.0646,467521.87,3.55
VEH-02121,11.74,0.0852,657176.7,3.2,10.63,0.0941,739322.96,3.36
VEH-02122,19.9,0.0503,124103.09,2.04,19.33,0.0517,152378.43,2.29
VEH-02123,10.5,0.0952,1002715.82,3.99,9.68,0.1033,1252589.05,4.23
VEH-02124,12.78,0.0782,449133.84,2.66,11.03,0.0907,508979.15,2.82
VEH-02125,17.73,0.0564,197279.82,2.41,16.49,0.0606,238062.19,2.89
VEH-02126,18.34,0.0545,181220.48,2.48,17.6,0.0568,197729.11,2.64
VEH-02127,9.91,0.1009,1002516.74,4.12,9.32,0.1073,1185642.4,4.47
VEH-02128,13.66,0.0732,506297.61,3.32,13.09,0.0764,568191.5,3.7
VEH-02129,15.07,0.0664,406736.84,3.37,14.19,0.0705,483643.69,3.63
VEH-02130,15.59,0.0641,360895.28,3.18,13.94,0.0717,430376.49,3.36
VEH-02131,13.3,0.0752,617506.6,3.7,12.0,0.0833,742766.17,4.05
VEH-02132,17.74,0.0564,250969.88,2.64,16.35,0.0612,275161.37,2.93
VEH-02133,15.71,0.0637,295099.45,2.77,14.99,0.0667,348365.49,3.21
VEH-02134,19.38,0.0516,65573.79,2.13,17.87,0.056,78783.21,2.35
VEH-02135,12.88,0.0776,645255.39,3.7,12.3,0.0813,781080.32,4.41
VEH-02136,15.42,0.0649,371082.66,2.72,13.82,0.0724,429240.31,3.13
VEH-02137,18.06,0.0554,89150.66,2.22,16.89,0.0592,102174.0,2.58
VEH-02138,17.65,0.0567,265825.48,2.75,16.85,0.0593,316235.11,2.89
VEH-02139,12.29,0.0814,651491.42,3.34,10.43,0.0959,755043.84,3.59
VEH-02140,15.48,0.0646,528444.99,3.55,14.08,0.071,655122.75,3.94
VEH-02141,17.83,0.0561,110151.21,2.2,16.65,0.0601,119422.96,2.46
VEH-02142,16.58,0.0603,95500.78,2.03,15.52,0.0644,108720.3,2.23
VEH-02143,14.32,0.0698,444221.93,3.33,12.72,0.0786,492358.16,3.85
VEH-02144,12.52,0.0799,808052.84,4.02,10.72,0.0933,903929.13,4.63
VEH-02145,11.33,0.0883,897062.51,4.04,10.37,0.0964,1057660.21,4.54
VEH-02146,14.59,0.0685,619468.34,4.19,13.5,0.0741,743700.42,4.71
VEH-02147,14.54,0.0688,454563.0,3.44,13.51,0.074,534733.35,3.78
VEH-02148,16.22,0.0617,197031.7,2.44,14.52,0.0689,220615.78,2.66
VEH-02149,17.35,0.0576,26072.19,1.64,15.56,0.0643,31798.59,1.86
VEH-02150,19.19,0.0521,123254.52,2.43,17.74,0.0564,153730.54,2.72
VEH-02151,14.51,0.0689,511362.0,3.46,13.62,0.0734,637758.92,3.82
VEH-02152,16.21,0.0617,264572.09,2.64,14.49,0.069,310288.48,3.15
VEH-02153,14.27,0.0701,487563.21,3.59,13.05,0.0766,585337.42,4.2
VEH-02154,16.59,0.0603,179091.49,2.37,15.62,0.064,203184.88,2.74
VEH-02155,15.28,0.0654,607044.22,3.88,14.24,0.0702,741899.44,4.39
VEH-02156,13.62,0.0734,715442.2,4.01,12.01,0.0833,793143.14,4.59
VEH-02157,18.26,0.0548,181738.46,2.66,17.43,0.0574,207622.32,2.92
VEH-02158,15.4,0.0649,377215.84,2.88,14.85,0.0673,434823.98,3.36
VEH-02159,16.46,0.0608,277752.79,2.48,15.19,0.0658,314088.87,2.87
VEH-02160,18.05,0.0554,182945.49,2.5,16.99,0.0589,216024.88,3.0
VEH-02161,16.83,0.0594,332114.13,2.79,15.24,0.0656,399117.95,3.07
VEH-02162,18.4,0.0543,186388.04,2.34,16.82,0.0595,215961.24,2.5
VEH-02163,15.65,0.0639,423868.3,3.17,14.33,0.0698,505907.34,3.47
VEH-02164,15.01,0.0666,350676.93,2.96,13.27,0.0754,379527.1,3.13
VEH-02165,17.16,0.0583,56851.35,2.06,16.61,0.0602,66138.11,2.22
VEH-02166,17.69,0.0565,36864.77,1.9,16.15,0.0619,43289.92,2.08
VEH-02167,17.58,0.0569,104052.35,2.3,16.68,0.06,116374.45,2.67
VEH-02168,17.49,0.0572,216050.82,2.4,16.89,0.0592,244530.63,2.59
VEH-02169,17.91,0.0558,238228.99,2.83,16.38,0.0611,290345.32,3.12
VEH-02170,17.19,0.0582,235190.71,2.67,15.7,0.0637,254057.54,2.93
VEH-02171,18.72,0.0534,200986.94,2.3,17.59,0.0569,237202.0,2.58
VEH-02172,14.95,0.0669,343464.65,3.11,13.09,0.0764,422203.36,3.53
VEH-02173,17.79,0.0562,254119.22,2.7,16.6,0.0602,282517.2,2.87
VEH-02174,16.05,0.0623,222465.23,2.45,14.58,0.0686,243351.05,2.67
VEH-02175,17.45,0.0573,157944.94,2.67,16.45,0.0608,192183.97,2.89
VEH-02176,14.39,0.0695,633948.15,3.91,12.41,0.0806,763153.19,4.25
VEH-02177,13.66,0.0732,476115.93,3.35,12.96,0.0772,581043.56,3.9
VEH-02178,14.64,0.0683,357287.25,3.26,13.42,0.0745,432610.95,3.89
VEH-02179,17.72,0.0564,49704.67,2.16,16.17,0.0618,61492.81,2.52
VEH-02180,17.15,0.0583,153093.95,2.38,15.51,0.0645,173017.7,2.58
VEH-02181,17.02,0.0588,242667.58,2.78,15.96,0.0627,274022.36,2.93
VEH-02182,14.47,0.0691,468412.65,3.3,12.7,0.0787,561171.63,3.49
VEH-02183,17.19,0.0582,170520.94,2.76,15.62,0.064,199449.17,3.2
VEH-02184,16.51,0.0606,331677.56,3.17,14.85,0.0673,411749.28,3.77
VEH-02185,12.19,0.082,674623.58,3.42,10.96,0.0912,783572.44,3.99
VEH-02186,16.91,0.0591,248392.31,2.59,15.59,0.0641,289652.37,2.98
VEH-02187,15.48,0.0646,325033.28,3.06,14.93,0.067,368105.54,3.38
VEH-02188,14.39,0.0695,481313.12,2.98,13.13,0.0762,594593.13,3.41
VEH-02189,19.18,0.0521,23091.05,2.0,18.66,0.0536,27135.15,2.3
VEH-02190,9.84,0.1016,1087760.52,4.49,8.0,0.125,1266773.68,5.2
VEH-02191,15.66,0.0639,390302.73,3.12,13.99,0.0715,469323.91,3.57
VEH-02192,17.79,0.0562,108298.5,2.23,16.41,0.0609,122529.44,2.35
VEH-02193,16.81,0.0595,271028.33,2.63,15.95,0.0627,301462.29,3.03
VEH-02194,13.65,0.0733,621955.22,3.94,12.59,0.0794,752479.49,4.57
VEH-02195,16.76,0.0597,164341.97,2.08,15.84,0.0631,201383.67,2.27
VEH-02196,16.54,0.0605,274787.48,2.39,15.14,0.0661,303122.39,2.82
VEH-02197,17.28,0.0579,249855.01,2.53,16.58,0.0603,279152.67,2.75
VEH-02198,15.98,0.0626,459760.35,3.67,14.51,0.0689,571790.21,4.15
VEH-02199,13.16,0.076,548603.28,3.42,11.77,0.085,628560.07,3.84
VEH-02200,15.38,0.065,409910.84,3.32,13.53,0.0739,503719.77,3.66
VEH-02201,11.82,0.0846,975471.71,4.42,10.64,0.094,1199665.09,4.9
VEH-02202,15.16,0.066,320754.56,2.83,14.44,0.0693,347727.39,3.02
VEH-02203,20.0,0.05,22329.18,1.77,18.98,0.0527,24804.15,2.11
VEH-02204,14.91,0.0671,423297.06,3.12,13.71,0.0729,465721.26,3.33
VEH-02205,18.99,0.0527,316312.51,3.13,17.81,0.0561,357968.92,3.43
VEH-02206,14.78,0.0677,578740.74,3.76,13.7,0.073,661219.37,4.12
VEH-02207,14.65,0.0683,654318.22,3.85,12.71,0.0787,782588.17,4.54
VEH-02208,18.91,0.0529,49442.84,1.84,17.6,0.0568,54434.76,2.15
VEH-02209,16.11,0.0621,488097.02,3.73,15.18,0.0659,554045.84,3.97
VEH-02210,18.35,0.0545,164586.89,2.36,16.57,0.0604,198505.3,2.6
VEH-02211,17.95,0.0557,230985.8,2.5,16.02,0.0624,277381.93,2.96
VEH-02212,12.93,0.0773,625592.57,3.5,11.52,0.0868,700434.53,4.07
VEH-02213,12.73,0.0786,623112.95,3.73,10.76,0.0929,753072.02,4.08
VEH-02214,13.08,0.0765,740016.18,3.59,11.17,0.0895,807719.8,3.81
VEH-02215,12.77,0.0783,791696.86,3.81,11.8,0.0847,937932.91,4.37
VEH-02216,16.48,0.0607,277762.72,2.6,14.71,0.068,322413.49,2.86
VEH-02217,15.8,0.0633,180951.44,2.3,14.55,0.0687,200315.71,2.72
VEH-02218,14.51,0.0689,464381.47,3.34,12.68,0.0789,574629.14,3.61
VEH-02219,18.87,0.053,152926.56,2.27,17.18,0.0582,185875.12,2.5
VEH-02220,14.31,0.0699,494618.51,3.51,13.12,0.0762,606856.48,4.17
VEH-02221,15.88,0.063,191441.62,2.28,15.25,0.0656,232597.33,2.57
VEH-02222,16.42,0.0609,188971.5,2.43,14.96,0.0668,221013.29,2.9
VEH-02223,15.69,0.0637,430551.8,3.32,15.18,0.0659,529293.95,3.54
VEH-02224,12.77,0.0783,718736.9,3.77,11.28,0.0887,874544.64,4.5
VEH-02225,17.18,0.0582,253604.49,2.56,16.16,0.0619,288001.68,2.92
VEH-02226,11.56,0.0865,606579.29,3.35,10.43,0.0959,703541.59,3.78
VEH-02227,12.97,0.0771,601377.93,3.58,11.22,0.0891,668594.79,4.24
VEH-02228,20.0,0.05,22673.64,1.87,18.03,0.0555,27971.81,2.24
VEH-02229,14.49,0.069,599075.75,3.99,13.76,0.0727,739505.18,4.53
VEH-02230,16.91,0.0591,232081.76,2.55,15.91,0.0629,290091.49,2.79
VEH-02231,16.44,0.0608,214578.26,2.55,15.04,0.0665,263505.92,2.98
VEH-02232,18.07,0.0553,85545.95,2.19,16.12,0.062,98959.61,2.31
VEH-02233,15.97,0.0626,324361.78,2.83,15.16,0.066,398139.09,3.37
VEH-02234,13.9,0.0719,464223.3,3.6,12.76,0.0784,534483.09,3.8
VEH-02235,13.9,0.0719,653657.48,4.04,12.36,0.0809,792312.9,4.5
VEH-02236,16.68,0.06,396447.5,3.13,16.1,0.0621,440185.67,3.3
VEH-02237,16.2,0.0617,491277.26,3.45,15.52,0.0644,590610.32,3.67
VEH-02238,20.0,0.05,156055.47,2.43,18.48,0.0541,188665.27,2.78
VEH-02239,16.22,0.0617,556715.81,4.18,15.16,0.066,671894.71,4.82
VEH-02240,15.39,0.065,313137.22,2.57,14.71,0.068,346633.4,2.77
VEH-02241,10.95,0.0913,1054801.43,3.98,9.76,0.1025,1309059.07,4.55
VEH-02242,12.02,0.0832,779989.61,3.78,11.26,0.0888,925889.95,4.53
VEH-02243,13.48,0.0742,636396.55,3.54,11.57,0.0864,794393.59,4.03
VEH-02244,13.95,0.0717,620112.12,3.34,12.91,0.0775,698481.4,3.63
VEH-02245,12.2,0.082,730595.51,3.58,10.7,0.0935,827039.34,3.93
VEH-02246,15.64,0.0639,370701.52,3.21,14.07,0.0711,455572.68,3.41
VEH-02247,16.62,0.0602,173815.67,2.62,15.11,0.0662,209145.31,2.94
VEH-02248,13.05,0.0766,750706.54,3.91,11.49,0.087,875467.82,4.53
VEH-02249,8.67,0.1153,1554694.87,5.04,7.15,0.1399,1886082.08,5.81
VEH-02250,14.93,0.067,402970.11,2.95,13.69,0.073,475566.01,3.5
VEH-02251,15.16,0.066,375830.9,3.23,13.36,0.0749,459085.69,3.81
VEH-02252,12.88,0.0776,582674.16,3.46,12.18,0.0821,642889.42,3.84
VEH-02253,9.92,0.1008,1494091.64,5.19,8.3,0.1205,1743244.74,5.87
VEH-02254,13.69,0.073,387244.64,3.19,12.67,0.0789,478683.06,3.5
VEH-02255,19.9,0.0503,209904.81,2.36,18.27,0.0547,246813.75,2.51
VEH-02256,13.85,0.0722,675500.25,4.29,12.26,0.0816,748798.04,4.58
VEH-02257,17.62,0.0568,181990.03,2.52,17.01,0.0588,218399.27,2.89
VEH-02258,18.4,0.0543,57349.64,1.86,16.6,0.0602,63843.1,2.21
VEH-02259,14.29,0.07,547714.77,3.63,12.69,0.0788,649515.55,4.26
VEH-02260,18.46,0.0542,163896.79,2.6,17.37,0.0576,197272.64,2.95
VEH-02261,15.98,0.0626,381179.2,2.8,14.88,0.0672,442230.2,3.13
VEH-02262,16.79,0.0596,148942.1,2.25,16.11,0.0621,165786.42,2.44
VEH-02263,11.31,0.0884,962618.47,4.04,9.37,0.1067,1170355.72,4.35
VEH-02264,17.65,0.0567,150971.06,2.46,17.13,0.0584,170629.59,2.88
VEH-02265,18.07,0.0553,177167.29,2.77,16.58,0.0603,203415.45,2.92
VEH-02266,16.78,0.0596,300820.6,2.73,15.34,0.0652,339476.0,2.94
VEH-02267,17.57,0.0569,231044.88,2.39,16.03,0.0624,268465.57,2.8
VEH-02268,13.38,0.0747,614868.79,3.58,12.27,0.0815,684807.98,4.24
VEH-02269,16.23,0.0616,523547.81,3.39,14.93,0.067,584242.74,3.75
VEH-02270,17.56,0.0569,311781.01,3.14,16.61,0.0602,378939.79,3.5
VEH-02271,16.34,0.0612,209592.28,2.31,15.12,0.0661,231140.21,2.45
VEH-02272,15.73,0.0636,301689.59,2.87,14.27,0.0701,367138.96,3.24
VEH-02273,19.42,0.0515,195899.07,2.83,18.36,0.0545,227014.55,3.05
VEH-02274,12.21,0.0819,724299.69,3.44,10.9,0.0917,857963.84,3.94
VEH-02275,16.71,0.0598,213032.23,2.08,14.95,0.0669,231689.58,2.21
VEH-02276,16.49,0.0606,456563.7,3.4,15.43,0.0648,569994.29,4.05
VEH-02277,17.3,0.0578,228864.34,2.79,16.4,0.061,272643.13,3.29
VEH-02278,16.53,0.0605,247480.45,2.68,15.01,0.0666,286888.67,2.89
VEH-02279,12.99,0.077,563484.42,3.66,11.38,0.0879,624093.75,4.32
VEH-02280,15.89,0.0629,339421.69,2.58,14.6,0.0685,417591.48,2.98
VEH-02281,17.57,0.0569,144177.85,1.89,16.63,0.0601,156832.4,2.18
VEH-02282,17.13,0.0584,336001.62,3.05,15.32,0.0653,398828.36,3.28
VEH-02283,18.42,0.0543,254633.74,2.78,16.77,0.0596,311778.36,3.19
VEH-02284,18.87,0.053,143602.65,2.21,17.16,0.0583,173141.16,2.49
VEH-02285,13.6,0.0735,639952.8,3.97,12.28,0.0814,711899.73,4.59
VEH-02286,13.47,0.0742,668558.89,4.09,11.55,0.0866,825352.18,4.53
VEH-02287,16.91,0.0591,291508.31,2.83,16.21,0.0617,363043.93,3.2
VEH-02288,18.01,0.0555,159133.54,2.17,16.4,0.061,189621.33,2.3
VEH-02289,13.6,0.0735,534381.48,3.34,12.13,0.0824,584589.96,3.84
VEH-02290,16.9,0.0592,298805.23,2.82,15.39,0.065,336991.25,3.1
VEH-02291,15.82,0.0632,259422.59,2.35,15.12,0.0661,285453.37,2.55
VEH-02292,14.86,0.0673,470373.18,3.13,14.3,0.0699,524129.48,3.49
VEH-02293,11.05,0.0905,865698.81,4.07,9.98,0.1002,1050971.16,4.48
VEH-02294,17.35,0.0576,116986.54,2.51,15.94,0.0627,130717.64,2.85
VEH-02295,16.97,0.0589,234346.74,2.83,15.7,0.0637,277379.32,2.99
VEH-02296,13.86,0.0722,687843.57,3.96,13.05,0.0766,816953.92,4.57
VEH-02297,18.15,0.0551,168675.84,2.86,16.9,0.0592,188937.52,3.28
VEH-02298,14.62,0.0684,255410.21,2.3,13.14,0.0761,309435.57,2.6
VEH-02299,15.18,0.0659,447806.88,3.11,13.3,0.0752,506076.24,3.63
VEH-02300,14.97,0.0668,504749.13,3.53,13.07,0.0765,626339.48,3.99
VEH-02301,16.91,0.0591,284063.33,2.68,15.87,0.063,309926.53,3.12
VEH-02302,12.39,0.0807,837216.18,4.31,10.98,0.0911,986122.41,4.72
VEH-02303,15.34,0.0652,232154.15,2.26,13.39,0.0747,275213.75,2.63
VEH-02304,16.62,0.0602,282287.41,2.8,16.11,0.0621,341183.81,3.0
VEH-02305,14.32,0.0698,534210.72,3.69,13.08,0.0765,643799.72,4.15
VEH-02306,17.52,0.0571,217474.95,2.85,16.22,0.0617,242863.51,3.08
VEH-02307,17.0,0.0588,156722.32,2.53,15.61,0.0641,174067.44,3.02
VEH-02308,15.99,0.0625,395522.56,3.02,14.87,0.0672,475782.41,3.37
VEH-02309,13.15,0.076,719434.99,3.88,12.1,0.0826,825238.21,4.21
VEH-02310,14.32,0.0698,437933.13,3.3,13.11,0.0763,480662.73,3.76
VEH-02311,15.25,0.0656,327863.05,3.01,13.59,0.0736,385674.4,3.53
VEH-02312,15.07,0.0664,300787.1,2.6,14.37,0.0696,364248.59,2.93
VEH-02313,12.18,0.0821,777943.65,3.84,11.14,0.0898,907424.43,4.31
VEH-02314,12.53,0.0798,751516.21,4.04,11.54,0.0867,890663.43,4.63
VEH-02315,13.64,0.0733,621112.7,3.85,12.52,0.0799,776145.85,4.35
VEH-02316,17.77,0.0563,255949.81,2.84,16.29,0.0614,313052.38,2.99
VEH-02317,11.99,0.0834,850247.84,4.12,11.39,0.0878,1056510.8,4.59
VEH-02318,16.81,0.0595,182935.1,2.44,15.64,0.0639,200983.45,2.86
VEH-02319,16.07,0.0622,306357.41,2.79,14.27,0.0701,377664.01,3.19
VEH-02320,15.29,0.0654,331602.3,3.33,14.03,0.0713,385274.35,3.68
VEH-02321,16.56,0.0604,217294.11,2.36,14.62,0.0684,252032.77,2.61
VEH-02322,16.58,0.0603,343323.04,2.91,15.37,0.0651,391671.29,3.35
VEH-02323,11.44,0.0874,920174.11,4.25,10.34,0.0967,1032126.86,4.93
VEH-02324,13.88,0.072,705585.64,3.82,12.94,0.0773,830345.07,4.46
VEH-02325,16.74,0.0597,268142.36,2.89,15.27,0.0655,293420.31,3.38
VEH-02326,12.72,0.0786,651546.93,3.55,12.15,0.0823,798698.96,3.8
VEH-02327,15.77,0.0634,394215.85,3.4,13.91,0.0719,474326.13,3.88
VEH-02328,18.32,0.0546,95893.06,2.0,16.88,0.0592,117280.2,2.14
VEH-02329,16.68,0.06,199338.14,2.42,15.73,0.0636,242237.47,2.76
VEH-02330,15.92,0.0628,277375.2,2.91,14.19,0.0705,300693.79,3.15
VEH-02331,15.66,0.0639,394815.32,3.06,13.96,0.0716,458581.53,3.24
VEH-02332,11.79,0.0848,901061.5,4.15,10.51,0.0951,1047496.78,4.57
VEH-02333,15.56,0.0643,395254.4,3.19,14.96,0.0668,470301.53,3.66
VEH-02334,13.52,0.074,583783.84,3.77,12.16,0.0822,724583.32,4.37
VEH-02335,16.03,0.0624,405255.64,3.13,14.98,0.0668,504557.98,3.46
VEH-02336,15.34,0.0652,386059.86,2.99,14.01,0.0714,419615.87,3.26
VEH-02337,13.5,0.0741,640593.66,3.31,12.45,0.0803,731590.95,3.84
VEH-02338,13.86,0.0722,562054.15,3.76,12.69,0.0788,652978.77,4.25
VEH-02339,18.83,0.0531,78777.27,1.95,17.91,0.0558,93756.86,2.13
VEH-02340,14.08,0.071,486506.33,2.78,12.77,0.0783,535500.78,2.95
VEH-02341,13.83,0.0723,637717.5,3.63,12.51,0.0799,723081.41,3.82
VEH-02342,17.1,0.0585,222293.99,2.5,15.6,0.0641,263282.49,2.93
VEH-02343,14.33,0.0698,464694.88,3.44,13.7,0.073,530988.44,3.78
VEH-02344,9.06,0.1104,1519499.65,4.8,8.02,0.1247,1701675.41,5.59
VEH-02345,17.83,0.0561,164675.95,2.44,15.93,0.0628,194865.96,2.92
VEH-02346,18.28,0.0547,176277.68,2.55,16.39,0.061,204393.75,2.97
VEH-02347,20.0,0.05,161419.94,2.22,18.0,0.0556,196488.75,2.62
VEH-02348,13.94,0.0717,652688.0,3.65,12.24,0.0817,721626.82,4.27
VEH-02349,17.03,0.0587,355054.1,3.19,16.0,0.0625,432867.5,3.74
VEH-02350,16.14,0.062,423076.43,3.46,15.53,0.0644,469825.74,4.06
VEH-02351,14.51,0.0689,463300.16,3.64,12.99,0.077,567588.27,3.96
VEH-02352,13.01,0.0769,624522.53,3.45,11.39,0.0878,680172.11,3.75
VEH-02353,15.83,0.0632,310804.35,2.79,14.69,0.0681,381812.37,2.94
VEH-02354,11.12,0.0899,1062370.49,4.4,10.01,0.0999,1222142.49,4.64
VEH-02355,15.64,0.0639,314479.54,3.37,14.01,0.0714,352167.26,3.75
VEH-02356,13.04,0.0767,726486.64,4.2,12.25,0.0816,826946.56,4.67
VEH-02357,13.55,0.0738,360794.31,2.73,11.96,0.0836,445340.52,2.95
VEH-02358,17.22,0.0581,257213.42,2.73,15.8,0.0633,291665.49,3.15
VEH-02359,17.55,0.057,200950.66,2.51,15.63,0.064,230817.62,2.97
VEH-02360,16.38,0.0611,321532.68,3.07,15.65,0.0639,354105.31,3.61
VEH-02361,18.95,0.0528,136728.66,2.29,17.09,0.0585,149068.54,2.58
VEH-02362,15.03,0.0665,565782.8,3.48,14.08,0.071,673125.14,3.84
VEH-02363,13.55,0.0738,557879.35,3.37,12.49,0.0801,667826.03,3.94
VEH-02364,15.37,0.0651,481360.43,3.37,14.0,0.0714,575398.79,3.98
VEH-02365,12.72,0.0786,682356.54,3.7,10.84,0.0923,809869.79,3.92
VEH-02366,12.83,0.0779,724705.06,3.94,10.84,0.0923,855036.45,4.68
VEH-02367,11.99,0.0834,576515.91,3.17,10.95,0.0913,645881.88,3.74
VEH-02368,17.94,0.0557,139202.38,2.2,16.01,0.0625,173709.83,2.59
VEH-02369,15.67,0.0638,403789.47,2.95,14.63,0.0684,479276.33,3.47
VEH-02370,10.39,0.0962,1236751.89,4.54,9.01,0.111,1487376.06,5.36
VEH-02371,18.21,0.0549,230954.26,2.55,16.7,0.0599,268350.93,2.78
VEH-02372,16.82,0.0595,360877.29,3.18,15.82,0.0632,420473.28,3.41
VEH-02373,14.16,0.0706,621949.17,3.68,13.12,0.0762,758289.71,4.01
VEH-02374,15.43,0.0648,383021.48,3.16,14.33,0.0698,418966.16,3.33
VEH-02375,17.17,0.0582,373889.79,3.1,15.53,0.0644,461970.81,3.51
VEH-02376,17.26,0.0579,343344.16,2.96,15.29,0.0654,393800.11,3.46
VEH-02377,12.37,0.0808,687120.99,3.63,11.51,0.0869,744674.45,4.11
VEH-02378,13.49,0.0741,665349.86,4.03,12.82,0.078,739906.57,4.32
VEH-02379,14.32,0.0698,453672.12,3.27,13.03,0.0767,494108.64,3.75
VEH-02380,17.02,0.0588,213716.08,2.8,15.9,0.0629,259744.9,3.14
VEH-02381,16.99,0.0589,212903.82,2.58,16.19,0.0618,231067.47,2.99
VEH-02382,17.17,0.0582,190224.33,2.71,15.65,0.0639,224472.89,2.99
VEH-02383,11.8,0.0847,788829.2,4.04,10.37,0.0964,862922.14,4.38
VEH-02384,16.87,0.0593,205415.21,2.33,14.94,0.0669,248352.36,2.47
VEH-02385,15.23,0.0657,320236.24,2.86,14.28,0.07,389929.66,3.36
VEH-02386,16.78,0.0596,64452.5,1.94,15.01,0.0666,72814.79,2.15
VEH-02387,18.38,0.0544,118103.03,2.13,17.07,0.0586,130137.19,2.28
VEH-02388,13.07,0.0765,595950.51,3.43,12.31,0.0812,677944.17,4.0
VEH-02389,15.51,0.0645,251033.24,2.82,13.8,0.0725,281829.5,3.03
VEH-02390,13.76,0.0727,312537.1,2.33,11.99,0.0834,388968.28,2.47
VEH-02391,18.39,0.0544,227518.19,2.66,17.53,0.057,280902.96,2.82
VEH-02392,15.71,0.0637,243342.5,2.79,13.76,0.0727,279068.0,3.18
VEH-02393,19.54,0.0512,194243.88,2.31,18.67,0.0536,229023.98,2.55
VEH-02394,14.38,0.0695,700720.49,3.85,13.86,0.0722,802962.68,4.54
