vehicle_id,vehicle_type,make,model_name,model_year,department,fuel_type,purchase_price_inr,odometer_km,vehicle_age_yrs,status_now,status_future,fleet_degradation_now,fleet_degradation_future
VEH-01938,Dump Truck,BharatBenz,1617R,2013,PUBLIC WORKS,Diesel,3171000,89935,11,Active,Active,0.4661,0.5441
VEH-01939,Rescue Van,Force Motors,Traveller,2015,FIRE DEPARTMENT,Diesel,4192000,39682,9,Active,Active,0.2085,0.2744
VEH-01940,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2015,WATER DEPARTMENT,Diesel,971000,116917,9,Under Maintenance,Under Maintenance,0.6399,0.7042
VEH-01941,Inspection Van,Maruti Suzuki,Eeco,2013,WATER DEPARTMENT,CNG,3508000,71327,11,In Service,Under Maintenance,0.4078,0.4693
VEH-01943,Prison Van,Tata,Winger,2013,POLICE DEPARTMENT,Diesel,5492000,104758,11,In Service,In Service,0.6092,0.6767
VEH-01944,Motorcycle,Royal Enfield,Bullet 350,2014,POLICE DEPARTMENT,Diesel,4476000,29328,10,In Service,In Service,0.2279,0.2869
VEH-01945,Motorcycle,Royal Enfield,Bullet 350,2015,POLICE DEPARTMENT,Diesel,1236000,79725,9,Active,Active,0.4894,0.5704
VEH-01946,Rescue Van,Force Motors,Traveller,2020,FIRE DEPARTMENT,Petrol,3440000,83327,4,In Service,In Service,0.5463,0.6099
VEH-01947,Fire Engine,Ashok Leyland,Dost Strong,2021,FIRE DEPARTMENT,Petrol,4623000,26260,3,Active,Active,0.107,0.1401
VEH-01948,Inspection Van,Maruti Suzuki,Eeco,2012,WATER DEPARTMENT,Diesel,2297000,61601,12,Active,Active,0.4079,0.4755
VEH-01950,Rescue Van,Force Motors,Traveller,2023,FIRE DEPARTMENT,Diesel,4314000,26818,1,Active,Active,0.1726,0.2116
VEH-01951,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2016,WATER DEPARTMENT,Diesel,4850000,49704,8,Under Maintenance,Under Maintenance,0.3434,0.4519
VEH-01953,Patrol Car,Maruti Suzuki,Swift Dzire,2019,POLICE DEPARTMENT,Diesel,2050000,61440,5,Active,Active,0.2674,0.3317
VEH-01954,Motorcycle,Royal Enfield,Bullet 350,2016,POLICE DEPARTMENT,Petrol,5698000,32211,8,Active,Active,0.196,0.3147
VEH-01955,Garbage Truck,Ashok Leyland,Captain 3520,2019,PUBLIC WORKS,CNG,3589000,97372,5,Active,In Service,0.4416,0.5046
VEH-01956,Dump Truck,BharatBenz,1617R,2021,PUBLIC WORKS,Diesel,3349000,19781,3,Active,Active,0.1737,0.2257
VEH-01957,Prison Van,Tata,Winger,2022,POLICE DEPARTMENT,Diesel,4600000,71475,2,Active,Active,0.3862,0.4588
VEH-01958,Rescue Van,Force Motors,Traveller,2019,FIRE DEPARTMENT,Diesel,5460000,42686,5,Active,In Service,0.2161,0.3312
VEH-01959,Prison Van,Tata,Winger,2020,POLICE DEPARTMENT,CNG,2390000,93133,4,In Service,In Service,0.4801,0.5698
VEH-01960,SUV,Toyota,Innova Crysta,2013,POLICE DEPARTMENT,CNG,5027000,55126,11,In Service,Under Maintenance,0.2661,0.3619
VEH-01961,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2014,WATER DEPARTMENT,Diesel,5654000,99443,10,Active,In Service,0.5506,0.5955
VEH-01962,Rescue Van,Force Motors,Traveller,2012,FIRE DEPARTMENT,Petrol,5801000,79019,12,In Service,In Service,0.385,0.4186
VEH-01963,Tipper Truck,Tata,Prima 3130.K,2015,PUBLIC WORKS,Petrol,4376000,56768,9,Active,Active,0.3431,0.4214
VEH-01964,Rescue Van,Force Motors,Traveller,2016,FIRE DEPARTMENT,Diesel,4808000,59479,8,In Service,In Service,0.3551,0.4149
VEH-01965,Aerial Ladder Truck,Tata,LPT 2518,2022,FIRE DEPARTMENT,Diesel,5181000,62724,2,In Service,Under Maintenance,0.3592,0.393
VEH-01966,Fire Engine,Ashok Leyland,Dost Strong,2012,FIRE DEPARTMENT,Petrol,4920000,72209,12,In Service,In Service,0.4142,0.5249
VEH-01967,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2019,WATER DEPARTMENT,Diesel,1773000,24344,5,Active,Active,0.1261,0.1584
VEH-01970,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2013,WATER DEPARTMENT,Diesel,4049000,84855,11,Active,Active,0.498,0.5728
VEH-01971,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2016,WATER DEPARTMENT,CNG,1974000,36911,8,In Service,Under Maintenance,0.1721,0.2427
VEH-01972,Garbage Truck,Ashok Leyland,Captain 3520,2020,PUBLIC WORKS,Diesel,1774000,28507,4,Active,Active,0.1336,0.196
VEH-01974,Water Tender,Tata,ULTRA 812,2013,FIRE DEPARTMENT,Diesel,5445000,120776,11,Active,Active,0.7351,0.7919
VEH-01976,Road Roller,CASE,SV210D,2014,PUBLIC WORKS,Diesel,5350000,51970,10,Active,Active,0.2746,0.3405
VEH-01978,Aerial Ladder Truck,Tata,LPT 2518,2022,FIRE DEPARTMENT,Diesel,2102000,44376,2,Active,Active,0.2165,0.3304
VEH-01979,Garbage Truck,Ashok Leyland,Captain 3520,2014,PUBLIC WORKS,CNG,4948000,51225,10,Active,Active,0.2813,0.3741
VEH-01980,Tipper Truck,Tata,Prima 3130.K,2012,PUBLIC WORKS,CNG,5785000,58787,12,Under Maintenance,Under Maintenance,0.3003,0.3787
VEH-01981,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2017,WATER DEPARTMENT,CNG,1620000,95990,7,Active,Active,0.5441,0.5898
VEH-01982,Prison Van,Tata,Winger,2014,POLICE DEPARTMENT,Diesel,3639000,57444,10,Active,Active,0.3502,0.3926
VEH-01983,Water Tender,Tata,ULTRA 812,2012,FIRE DEPARTMENT,Petrol,4995000,93210,12,Active,Active,0.43,0.4774
VEH-01984,Water Tender,Tata,ULTRA 812,2015,FIRE DEPARTMENT,Diesel,2526000,77270,9,Active,Active,0.3821,0.4685
VEH-01985,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2012,WATER DEPARTMENT,CNG,1196000,51697,12,Active,Active,0.274,0.3091
VEH-01986,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2012,WATER DEPARTMENT,Diesel,1438000,135319,12,Under Maintenance,Under Maintenance,0.7648,0.8366
VEH-01987,Motorcycle,Royal Enfield,Bullet 350,2023,POLICE DEPARTMENT,CNG,2534000,78875,1,Active,Active,0.3726,0.444
VEH-01988,Rescue Van,Force Motors,Traveller,2013,FIRE DEPARTMENT,Diesel,1021000,76500,11,Active,Active,0.3081,0.4207
VEH-01989,Fire Engine,Ashok Leyland,Dost Strong,2021,FIRE DEPARTMENT,CNG,1037000,53231,3,Active,Active,0.3275,0.3908
VEH-01990,Patrol Car,Maruti Suzuki,Swift Dzire,2019,POLICE DEPARTMENT,Petrol,5869000,23747,5,Active,Active,0.129,0.2397
VEH-01991,SUV,Toyota,Innova Crysta,2013,POLICE DEPARTMENT,Diesel,1440000,140550,11,Under Maintenance,Under Maintenance,0.792,0.8773
VEH-01992,Water Tanker,Tata,TIPPER 1618,2022,WATER DEPARTMENT,CNG,1649000,118820,2,Under Maintenance,Under Maintenance,0.6534,0.7185
VEH-01993,SUV,Toyota,Innova Crysta,2013,POLICE DEPARTMENT,Diesel,3873000,99863,11,Under Maintenance,Under Maintenance,0.4494,0.5267
VEH-01994,Inspection Van,Maruti Suzuki,Eeco,2022,WATER DEPARTMENT,Electric,5037000,26622,2,Under Maintenance,Under Maintenance,0.1914,0.2299
VEH-01995,SUV,Toyota,Innova Crysta,2022,POLICE DEPARTMENT,CNG,1630000,13699,2,Active,Active,0.0802,0.1902
VEH-01996,Patrol Car,Maruti Suzuki,Swift Dzire,2021,POLICE DEPARTMENT,Electric,1024000,9772,3,Active,Active,0.12,0.2068
VEH-01997,Road Roller,CASE,SV210D,2021,PUBLIC WORKS,Diesel,1943000,57106,3,In Service,In Service,0.2726,0.3419
VEH-01998,Inspection Van,Maruti Suzuki,Eeco,2019,WATER DEPARTMENT,Diesel,3420000,113661,5,Active,Active,0.6769,0.7767
VEH-01999,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2023,WATER DEPARTMENT,Petrol,5956000,6204,1,Active,Active,0.0742,0.1406
VEH-02003,Garbage Truck,Ashok Leyland,Captain 3520,2015,PUBLIC WORKS,Diesel,1664000,164914,9,In Service,In Service,0.8553,0.9546
VEH-02006,Patrol Car,Maruti Suzuki,Swift Dzire,2022,POLICE DEPARTMENT,Diesel,3686000,31394,2,Under Maintenance,Under Maintenance,0.1641,0.2383
VEH-02007,Rescue Van,Force Motors,Traveller,2014,FIRE DEPARTMENT,Diesel,3846000,50095,10,Active,Active,0.253,0.3012
VEH-02008,Motorcycle,Royal Enfield,Bullet 350,2023,POLICE DEPARTMENT,Petrol,1627000,11997,1,In Service,In Service,0.1517,0.1827
VEH-02009,Inspection Van,Maruti Suzuki,Eeco,2020,WATER DEPARTMENT,Diesel,2925000,37286,4,In Service,Under Maintenance,0.2783,0.3258
VEH-02010,Water Tender,Tata,ULTRA 812,2016,FIRE DEPARTMENT,Petrol,3679000,106358,8,Active,Active,0.572,0.6856
VEH-02011,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2017,WATER DEPARTMENT,Diesel,5310000,23248,7,Active,Active,0.1906,0.2617
VEH-02012,Inspection Van,Maruti Suzuki,Eeco,2016,WATER DEPARTMENT,Petrol,4957000,40542,8,In Service,In Service,0.282,0.3237
VEH-02013,Dump Truck,BharatBenz,1617R,2012,PUBLIC WORKS,CNG,4302000,40039,12,Active,Active,0.2393,0.31
VEH-02014,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2021,WATER DEPARTMENT,Diesel,4841000,72102,3,Active,In Service,0.3539,0.4553
VEH-02015,Fire Engine,Ashok Leyland,Dost Strong,2012,FIRE DEPARTMENT,Diesel,5784000,67392,12,Active,Active,0.4393,0.5144
VEH-02016,Rescue Van,Force Motors,Traveller,2015,FIRE DEPARTMENT,CNG,4767000,40489,9,In Service,Under Maintenance,0.1615,0.2758
VEH-02018,Road Roller,CASE,SV210D,2022,PUBLIC WORKS,CNG,2548000,54408,2,In Service,In Service,0.345,0.4176
VEH-02019,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2019,WATER DEPARTMENT,Diesel,2713000,133445,5,In Service,Under Maintenance,0.7008,0.7383
VEH-02020,SUV,Toyota,Innova Crysta,2023,POLICE DEPARTMENT,CNG,3075000,95939,1,Under Maintenance,Under Maintenance,0.5612,0.6546
VEH-02021,Garbage Truck,Ashok Leyland,Captain 3520,2023,PUBLIC WORKS,Diesel,4095000,19598,1,Active,Active,0.0701,0.1322
VEH-02022,Rescue Van,Force Motors,Traveller,2018,FIRE DEPARTMENT,Diesel,2985000,61846,6,Active,In Service,0.4066,0.5073
VEH-02023,Dump Truck,BharatBenz,1617R,2022,PUBLIC WORKS,Diesel,3219000,89468,2,Under Maintenance,Under Maintenance,0.4854,0.5432
VEH-02024,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2018,WATER DEPARTMENT,Electric,3884000,85457,6,Active,Active,0.5494,0.6091
VEH-02025,Aerial Ladder Truck,Tata,LPT 2518,2019,FIRE DEPARTMENT,Electric,5014000,38524,5,In Service,Under Maintenance,0.2817,0.3605
VEH-02027,Prison Van,Tata,Winger,2018,POLICE DEPARTMENT,Diesel,4079000,44873,6,Active,Active,0.2037,0.2489
VEH-02028,Road Roller,CASE,SV210D,2021,PUBLIC WORKS,Diesel,3218000,98236,3,Under Maintenance,Under Maintenance,0.5344,0.6411
VEH-02030,Motorcycle,Royal Enfield,Bullet 350,2015,POLICE DEPARTMENT,CNG,5706000,21822,9,Active,Active,0.1299,0.1772
VEH-02031,Water Tanker,Tata,TIPPER 1618,2022,WATER DEPARTMENT,Diesel,3612000,112164,2,Under Maintenance,Under Maintenance,0.6427,0.7423
VEH-02032,Water Tender,Tata,ULTRA 812,2017,FIRE DEPARTMENT,CNG,5040000,81980,7,In Service,In Service,0.4691,0.5091
VEH-02033,Fire Engine,Ashok Leyland,Dost Strong,2014,FIRE DEPARTMENT,Petrol,5289000,105080,10,Active,In Service,0.5492,0.6217
VEH-02034,Street Sweeper,Tata,LPT 1613,2014,PUBLIC WORKS,Petrol,945000,68470,10,In Service,In Service,0.3936,0.4694
VEH-02035,SUV,Toyota,Innova Crysta,2017,POLICE DEPARTMENT,CNG,5585000,51405,7,Under Maintenance,Under Maintenance,0.2984,0.3792
VEH-02037,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2012,WATER DEPARTMENT,Diesel,5058000,70285,12,Under Maintenance,Under Maintenance,0.339,0.446
VEH-02038,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2016,WATER DEPARTMENT,CNG,3752000,74475,8,Active,Active,0.3935,0.4508
VEH-02041,Road Roller,CASE,SV210D,2019,PUBLIC WORKS,CNG,4957000,78457,5,Active,Active,0.3806,0.4622
VEH-02042,Aerial Ladder Truck,Tata,LPT 2518,2013,FIRE DEPARTMENT,Petrol,3149000,48174,11,Active,Active,0.3263,0.374
VEH-02043,Water Tender,Tata,ULTRA 812,2017,FIRE DEPARTMENT,Diesel,5934000,61038,7,Active,Active,0.3893,0.4411
VEH-02044,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2021,WATER DEPARTMENT,Petrol,1979000,29015,3,Active,Active,0.1745,0.2439
VEH-02045,Dump Truck,BharatBenz,1617R,2021,PUBLIC WORKS,Diesel,5536000,85123,3,Active,Active,0.4863,0.5413
VEH-02046,Motorcycle,Royal Enfield,Bullet 350,2016,POLICE DEPARTMENT,Electric,2479000,40477,8,In Service,In Service,0.1976,0.2312
VEH-02047,Water Tanker,Tata,TIPPER 1618,2021,WATER DEPARTMENT,Diesel,5161000,15612,3,Under Maintenance,Under Maintenance,0.0662,0.1679
VEH-02048,Motorcycle,Royal Enfield,Bullet 350,2023,POLICE DEPARTMENT,Petrol,3059000,74729,1,Active,Active,0.4853,0.5891
VEH-02049,Rescue Van,Force Motors,Traveller,2023,FIRE DEPARTMENT,CNG,5130000,51736,1,Active,Active,0.2911,0.4021
VEH-02050,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2015,WATER DEPARTMENT,Diesel,3864000,58991,9,Active,Active,0.2738,0.392
VEH-02051,Fire Engine,Ashok Leyland,Dost Strong,2012,FIRE DEPARTMENT,CNG,5517000,112917,12,In Service,Under Maintenance,0.6332,0.6734
VEH-02052,Fire Engine,Ashok Leyland,Dost Strong,2014,FIRE DEPARTMENT,Electric,3288000,72523,10,In Service,Under Maintenance,0.4465,0.5012
VEH-02053,Inspection Van,Maruti Suzuki,Eeco,2023,WATER DEPARTMENT,Petrol,5653000,31376,1,In Service,In Service,0.2178,0.3046
VEH-02054,Dump Truck,BharatBenz,1617R,2015,PUBLIC WORKS,Diesel,1462000,129268,9,Under Maintenance,Under Maintenance,0.7253,0.8342
VEH-02055,Street Sweeper,Tata,LPT 1613,2013,PUBLIC WORKS,Petrol,5007000,78699,11,Active,In Service,0.4145,0.4591
VEH-02056,Prison Van,Tata,Winger,2023,POLICE DEPARTMENT,CNG,1948000,41805,1,In Service,In Service,0.1442,0.2177
VEH-02057,Rescue Van,Force Motors,Traveller,2013,FIRE DEPARTMENT,Diesel,1996000,41863,11,Active,Active,0.2758,0.3939
VEH-02058,Fire Engine,Ashok Leyland,Dost Strong,2013,FIRE DEPARTMENT,Petrol,1141000,114887,11,Under Maintenance,Under Maintenance,0.6582,0.7179
VEH-02059,Motorcycle,Royal Enfield,Bullet 350,2022,POLICE DEPARTMENT,Diesel,4605000,65324,2,Under Maintenance,Under Maintenance,0.2992,0.3734
VEH-02060,Rescue Van,Force Motors,Traveller,2012,FIRE DEPARTMENT,Diesel,4148000,47563,12,Active,In Service,0.2615,0.3539
VEH-02061,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2021,WATER DEPARTMENT,Diesel,2542000,77046,3,In Service,In Service,0.3253,0.3933
VEH-02062,Aerial Ladder Truck,Tata,LPT 2518,2013,FIRE DEPARTMENT,Electric,5874000,116744,11,Active,Active,0.6483,0.7429
VEH-02063,SUV,Toyota,Innova Crysta,2017,POLICE DEPARTMENT,Petrol,1102000,50816,7,In Service,Under Maintenance,0.2474,0.2907
VEH-02064,Water Tender,Tata,ULTRA 812,2014,FIRE DEPARTMENT,Diesel,4803000,22235,10,Active,Active,0.1564,0.2072
VEH-02065,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2021,WATER DEPARTMENT,CNG,2172000,29047,3,Active,In Service,0.3129,0.3777
VEH-02066,Prison Van,Tata,Winger,2016,POLICE DEPARTMENT,Diesel,1148000,68645,8,Active,In Service,0.381,0.4996
VEH-02067,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2012,WATER DEPARTMENT,CNG,4111000,88774,12,In Service,In Service,0.5398,0.6012
VEH-02069,Inspection Van,Maruti Suzuki,Eeco,2015,WATER DEPARTMENT,CNG,3143000,99608,9,Active,In Service,0.5335,0.6422
VEH-02071,SUV,Toyota,Innova Crysta,2015,POLICE DEPARTMENT,Petrol,1012000,86519,9,In Service,Under Maintenance,0.4711,0.5345
VEH-02072,Aerial Ladder Truck,Tata,LPT 2518,2013,FIRE DEPARTMENT,Diesel,3565000,77393,11,Active,Active,0.503,0.5628
VEH-02073,Water Tanker,Tata,TIPPER 1618,2014,WATER DEPARTMENT,Diesel,1004000,69637,10,Under Maintenance,Under Maintenance,0.409,0.4966
VEH-02074,Tipper Truck,Tata,Prima 3130.K,2016,PUBLIC WORKS,Diesel,1751000,109761,8,Under Maintenance,Under Maintenance,0.5437,0.5946
VEH-02075,Road Roller,CASE,SV210D,2023,PUBLIC WORKS,Electric,4527000,68706,1,Active,Active,0.4355,0.4979
VEH-02076,Tipper Truck,Tata,Prima 3130.K,2021,PUBLIC WORKS,Diesel,4563000,70149,3,Active,Active,0.4325,0.5359
VEH-02078,Rescue Van,Force Motors,Traveller,2018,FIRE DEPARTMENT,Diesel,5214000,86863,6,Active,Active,0.4734,0.578
VEH-02079,Garbage Truck,Ashok Leyland,Captain 3520,2015,PUBLIC WORKS,Diesel,845000,25572,9,In Service,In Service,0.1406,0.2202
VEH-02080,Patrol Car,Maruti Suzuki,Swift Dzire,2018,POLICE DEPARTMENT,Diesel,5839000,66454,6,Active,Active,0.3581,0.4341
VEH-02081,Water Tanker,Tata,TIPPER 1618,2021,WATER DEPARTMENT,CNG,3714000,44291,3,Active,Active,0.2913,0.3765
VEH-02082,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2014,WATER DEPARTMENT,CNG,2715000,56571,10,Active,Active,0.3701,0.4569
VEH-02083,Aerial Ladder Truck,Tata,LPT 2518,2018,FIRE DEPARTMENT,Electric,3957000,16290,6,In Service,In Service,0.1588,0.239
VEH-02084,Street Sweeper,Tata,LPT 1613,2015,PUBLIC WORKS,CNG,1572000,120950,9,In Service,In Service,0.6074,0.7005
VEH-02085,Rescue Van,Force Motors,Traveller,2019,FIRE DEPARTMENT,Diesel,3282000,45283,5,Active,Active,0.3212,0.3834
VEH-02086,Water Tender,Tata,ULTRA 812,2020,FIRE DEPARTMENT,CNG,4382000,69020,4,In Service,Under Maintenance,0.3809,0.4839
VEH-02087,Water Tanker,Tata,TIPPER 1618,2018,WATER DEPARTMENT,Diesel,4203000,50085,6,In Service,In Service,0.3023,0.3522
VEH-02088,SUV,Toyota,Innova Crysta,2019,POLICE DEPARTMENT,CNG,5520000,92370,5,In Service,In Service,0.4633,0.5576
VEH-02089,Tipper Truck,Tata,Prima 3130.K,2019,PUBLIC WORKS,Diesel,2279000,39328,5,In Service,In Service,0.2178,0.2825
VEH-02090,Water Tender,Tata,ULTRA 812,2013,FIRE DEPARTMENT,CNG,1167000,67709,11,Under Maintenance,Under Maintenance,0.4334,0.5259
VEH-02091,Patrol Car,Maruti Suzuki,Swift Dzire,2020,POLICE DEPARTMENT,Diesel,2737000,17017,4,Active,In Service,0.0824,0.1153
VEH-02092,Tipper Truck,Tata,Prima 3130.K,2017,PUBLIC WORKS,Diesel,1491000,59729,7,Active,Active,0.3183,0.3835
VEH-02093,Inspection Van,Maruti Suzuki,Eeco,2022,WATER DEPARTMENT,Diesel,5445000,5000,2,Active,Active,0.0593,0.1759
VEH-02094,Fire Engine,Ashok Leyland,Dost Strong,2015,FIRE DEPARTMENT,Diesel,5903000,72568,9,Under Maintenance,Under Maintenance,0.4168,0.4984
VEH-02096,SUV,Toyota,Innova Crysta,2021,POLICE DEPARTMENT,CNG,4927000,93624,3,Active,In Service,0.4609,0.5132
VEH-02097,Water Tender,Tata,ULTRA 812,2016,FIRE DEPARTMENT,CNG,4423000,28890,8,Active,Active,0.1588,0.233
VEH-02098,Prison Van,Tata,Winger,2018,POLICE DEPARTMENT,Diesel,3649000,74487,6,Under Maintenance,Under Maintenance,0.3552,0.4593
VEH-02099,Patrol Car,Maruti Suzuki,Swift Dzire,2020,POLICE DEPARTMENT,Diesel,5107000,18462,4,Under Maintenance,Under Maintenance,0.0881,0.1486
VEH-02100,Water Tender,Tata,ULTRA 812,2018,FIRE DEPARTMENT,Diesel,5445000,82819,6,Active,In Service,0.476,0.5568
VEH-02101,Dump Truck,BharatBenz,1617R,2020,PUBLIC WORKS,CNG,3466000,91024,4,In Service,In Service,0.498,0.5886
VEH-02102,Fire Engine,Ashok Leyland,Dost Strong,2015,FIRE DEPARTMENT,Diesel,5018000,41727,9,Active,Active,0.2683,0.3344
VEH-02103,Inspection Van,Maruti Suzuki,Eeco,2021,WATER DEPARTMENT,Diesel,2829000,59626,3,Active,In Service,0.3539,0.4094
VEH-02104,Motorcycle,Royal Enfield,Bullet 350,2021,POLICE DEPARTMENT,Diesel,2013000,28701,3,In Service,Under Maintenance,0.1192,0.1632
VEH-02105,Patrol Car,Maruti Suzuki,Swift Dzire,2015,POLICE DEPARTMENT,Diesel,3208000,21813,9,Active,Active,0.2183,0.2574
VEH-02107,Street Sweeper,Tata,LPT 1613,2019,PUBLIC WORKS,Diesel,2838000,57558,5,Active,Active,0.3176,0.3494
VEH-02108,Tipper Truck,Tata,Prima 3130.K,2020,PUBLIC WORKS,Diesel,4131000,69581,4,Under Maintenance,Under Maintenance,0.3491,0.4476
VEH-02110,Garbage Truck,Ashok Leyland,Captain 3520,2012,PUBLIC WORKS,Diesel,4566000,83659,12,Active,Active,0.4308,0.5418
VEH-02111,Inspection Van,Maruti Suzuki,Eeco,2019,WATER DEPARTMENT,Petrol,5460000,42400,5,In Service,In Service,0.228,0.304
VEH-02112,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2022,WATER DEPARTMENT,Diesel,2789000,64816,2,Active,Active,0.4184,0.4895
VEH-02113,Water Tanker,Tata,TIPPER 1618,2018,WATER DEPARTMENT,Diesel,5868000,84039,6,Active,In Service,0.4895,0.5253
VEH-02114,Tipper Truck,Tata,Prima 3130.K,2020,PUBLIC WORKS,Diesel,4383000,15174,4,Active,In Service,0.0877,0.1297
VEH-02115,Patrol Car,Maruti Suzuki,Swift Dzire,2022,POLICE DEPARTMENT,CNG,3792000,53209,2,In Service,In Service,0.2836,0.3907
VEH-02116,Water Tanker,Tata,TIPPER 1618,2014,WATER DEPARTMENT,Petrol,2381000,49588,10,Active,In Service,0.2942,0.3848
VEH-02117,Water Tender,Tata,ULTRA 812,2021,FIRE DEPARTMENT,Petrol,886000,39754,3,Active,Active,0.2519,0.2905
VEH-02118,Patrol Car,Maruti Suzuki,Swift Dzire,2023,POLICE DEPARTMENT,Diesel,2949000,105330,1,In Service,In Service,0.5597,0.651
VEH-02119,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2016,WATER DEPARTMENT,Diesel,5541000,92870,8,Under Maintenance,Under Maintenance,0.5287,0.5705
VEH-02120,Road Roller,CASE,SV210D,2014,PUBLIC WORKS,Diesel,4981000,74470,10,Active,Active,0.3999,0.4958
VEH-02121,SUV,Toyota,Innova Crysta,2016,POLICE DEPARTMENT,Diesel,5911000,85625,8,Under Maintenance,Under Maintenance,0.4515,0.5665
VEH-02122,Aerial Ladder Truck,Tata,LPT 2518,2021,FIRE DEPARTMENT,Petrol,5000000,27463,3,In Service,In Service,0.0901,0.1884
VEH-02123,Road Roller,CASE,SV210D,2012,PUBLIC WORKS,CNG,4594000,116862,12,Active,In Service,0.6304,0.7345
VEH-02124,Rescue Van,Force Motors,Traveller,2022,FIRE DEPARTMENT,CNG,1252000,63891,2,Under Maintenance,Under Maintenance,0.3284,0.4143
VEH-02125,Road Roller,CASE,SV210D,2015,PUBLIC WORKS,Diesel,5894000,38883,9,Active,Active,0.1974,0.2278
VEH-02126,Prison Van,Tata,Winger,2017,POLICE DEPARTMENT,Diesel,2318000,37004,7,In Service,Under Maintenance,0.2018,0.3024
VEH-02127,Prison Van,Tata,Winger,2013,POLICE DEPARTMENT,Diesel,2068000,110309,11,Under Maintenance,Under Maintenance,0.665,0.7314
VEH-02128,Inspection Van,Maruti Suzuki,Eeco,2018,WATER DEPARTMENT,Diesel,953000,76824,6,Under Maintenance,Under Maintenance,0.4449,0.5535
VEH-02129,Garbage Truck,Ashok Leyland,Captain 3520,2019,PUBLIC WORKS,Electric,2888000,68067,5,Under Maintenance,Under Maintenance,0.4337,0.5153
VEH-02130,Aerial Ladder Truck,Tata,LPT 2518,2012,FIRE DEPARTMENT,Diesel,5452000,62598,12,In Service,In Service,0.3865,0.4338
VEH-02131,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2015,WATER DEPARTMENT,Electric,4801000,91211,9,Active,In Service,0.5274,0.5624
VEH-02132,Water Tanker,Tata,TIPPER 1618,2022,WATER DEPARTMENT,Diesel,3848000,49483,2,Active,Active,0.244,0.324
VEH-02133,Aerial Ladder Truck,Tata,LPT 2518,2015,FIRE DEPARTMENT,Diesel,4683000,51539,9,Active,Active,0.3035,0.3845
VEH-02134,Water Tender,Tata,ULTRA 812,2016,FIRE DEPARTMENT,Diesel,1075000,14115,8,Active,Active,0.116,0.2234
VEH-02135,SUV,Toyota,Innova Crysta,2023,POLICE DEPARTMENT,Petrol,1778000,92513,1,Active,In Service,0.5332,0.5666
VEH-02136,Street Sweeper,Tata,LPT 1613,2023,PUBLIC WORKS,Diesel,3234000,63700,1,Under Maintenance,Under Maintenance,0.2963,0.4003
VEH-02137,Water Tanker,Tata,TIPPER 1618,2015,WATER DEPARTMENT,Diesel,4279000,17900,9,Active,Active,0.1555,0.222
VEH-02138,Patrol Car,Maruti Suzuki,Swift Dzire,2020,POLICE DEPARTMENT,Diesel,3759000,52089,4,Active,In Service,0.2675,0.345
VEH-02139,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2018,WATER DEPARTMENT,Diesel,1599000,89153,6,Active,In Service,0.4707,0.5487
VEH-02140,Road Roller,CASE,SV210D,2013,PUBLIC WORKS,Diesel,5073000,90786,11,Active,Active,0.4625,0.5269
VEH-02141,Tipper Truck,Tata,Prima 3130.K,2012,PUBLIC WORKS,Diesel,1506000,21840,12,Active,In Service,0.1554,0.2021
VEH-02142,Water Tender,Tata,ULTRA 812,2020,FIRE DEPARTMENT,Petrol,2106000,17768,4,Active,In Service,0.1406,0.1777
VEH-02143,Prison Van,Tata,Winger,2012,POLICE DEPARTMENT,Petrol,5724000,70585,12,Active,Active,0.4359,0.4846
VEH-02145,Aerial Ladder Truck,Tata,LPT 2518,2013,FIRE DEPARTMENT,Petrol,1660000,112919,11,In Service,Under Maintenance,0.6258,0.7172
VEH-02146,Road Roller,CASE,SV210D,2015,PUBLIC WORKS,Diesel,1991000,100483,9,Under Maintenance,Under Maintenance,0.6043,0.6951
